txmempool.cpp,txmempool.cpp,34320,548,38
main.cpp,main.cpp,92,8,5
DoS_tests.cpp,DoS_tests.cpp,60,4,3
allocator_tests.cpp,allocator_tests.cpp,96,96,90
allocator_tests.cpp,allocator_tests.cpp,96,8,5
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,8,4,3
base64_tests.cpp,base64_tests.cpp,4,8,3
bloom_tests.cpp,bloom_tests.cpp,4,4,4
checkblock_tests.cpp,checkblock_tests.cpp,92,4,3
key_tests.cpp,key_tests.cpp,40,4,3
main_tests.cpp,main_tests.cpp,96,8,5
mruset_tests.cpp,mruset_tests.cpp,4,48,3
multisig_tests.cpp,multisig_tests.cpp,4,8,3
netbase_tests.cpp,netbase_tests.cpp,4,8,3
serialize_tests.cpp,serialize_tests.cpp,100,8,5
sighash_tests.cpp,sighash_tests.cpp,572,16,7
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
uint256_tests.cpp,uint256_tests.cpp,1600,1600,1417
util_tests.cpp,util_tests.cpp,36,12,9
crypter.cpp,crypter.cpp,2464,1592,88
db.cpp,db.cpp,2468,2480,1269
wallet.cpp,wallet.cpp,732,5804,64
walletdb.cpp,walletdb.cpp,1800,4968,83
