protocol.cpp,protocol.cpp,10060,20368,1340
sync.cpp,sync.cpp,7576,16256,1410
txmempool.cpp,txmempool.cpp,31300,46732,1549
util.cpp,util.cpp,11392,34148,1410
main.cpp,main.cpp,108,87064,40
net.cpp,net.cpp,472,66908,37
protocol.cpp,protocol.cpp,256,20368,31
script.cpp,script.cpp,2732,67464,640
Checkpoints_tests.cpp,Checkpoints_tests.cpp,4,36232,3
DoS_tests.cpp,DoS_tests.cpp,60,48,25
accounting_tests.cpp,accounting_tests.cpp,40,136,30
allocator_tests.cpp,allocator_tests.cpp,96,96,90
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,24,28,18
base64_tests.cpp,base64_tests.cpp,4,8,3
bip32_tests.cpp,bip32_tests.cpp,108,112,107
getarg_tests.cpp,getarg_tests.cpp,32,32,26
hash_tests.cpp,hash_tests.cpp,4,8,3
key_tests.cpp,key_tests.cpp,40,28,27
miner_tests.cpp,miner_tests.cpp,1344,1364,20
mruset_tests.cpp,mruset_tests.cpp,4,48,3
multisig_tests.cpp,multisig_tests.cpp,4,12,3
netbase_tests.cpp,netbase_tests.cpp,4,8,3
rpc_tests.cpp,rpc_tests.cpp,88,92,64
script_P2SH_tests.cpp,script_P2SH_tests.cpp,44,59312,27
script_tests.cpp,script_tests.cpp,48,108,22
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
transaction_tests.cpp,transaction_tests.cpp,112,16,9
uint256_tests.cpp,uint256_tests.cpp,1600,8,5
util_tests.cpp,util_tests.cpp,8,12,7
crypter.cpp,crypter.cpp,1900,37488,165
db.cpp,db.cpp,2448,50196,555
rpcdump.cpp,rpcdump.cpp,3988,61700,95
rpcwallet.cpp,rpcwallet.cpp,8404,69172,95
wallet.cpp,wallet.cpp,708,88092,101
walletdb.cpp,walletdb.cpp,1448,62332,105
wallet_tests.cpp,wallet_tests.cpp,148,128,62
util.cpp,util.cpp,32,34148,16
