addressbookpage.cpp,addressbookpage.cpp,1616,1352,161
addresstablemodel.cpp,addresstablemodel.cpp,2572,1472,229
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1344,744,205
bitcoin.cpp,bitcoin.cpp,2196,1612,74
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,728,664,42
bitcoingui.cpp,bitcoingui.cpp,4728,3980,144
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,932,940,395
clientmodel.cpp,clientmodel.cpp,1576,472,34
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,536,154
guiutil.cpp,guiutil.cpp,1104,476,128
notificator.cpp,notificator.cpp,304,312,251
optionsdialog.cpp,optionsdialog.cpp,1268,824,44
optionsmodel.cpp,optionsmodel.cpp,884,456,124
overviewpage.cpp,overviewpage.cpp,2476,1040,128
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,184,130
qvaluecombobox.cpp,qvaluecombobox.cpp,112,104,81
rpcconsole.cpp,rpcconsole.cpp,3740,1164,164
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4516,1716,134
sendcoinsentry.cpp,sendcoinsentry.cpp,29612,896,128
transactiondesc.cpp,transactiondesc.cpp,2288,6776,99
transactiondescdialog.cpp,transactiondescdialog.cpp,360,188,77
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1092,512,151
transactionrecord.cpp,transactionrecord.cpp,608,640,141
transactiontablemodel.cpp,transactiontablemodel.cpp,4204,1540,145
transactionview.cpp,transactionview.cpp,3716,2128,266
walletmodel.cpp,walletmodel.cpp,3948,692,145
test_main.cpp,test_main.cpp,164,44,16
uritests.cpp,uritests.cpp,32,388,13
net.cpp,net.cpp,592,50284,37
protocol.cpp,protocol.cpp,260,15880,26
script.cpp,script.cpp,4312,40268,912
DoS_tests.cpp,DoS_tests.cpp,64,48,30
base58_tests.cpp,base58_tests.cpp,24,372,7
base64_tests.cpp,base64_tests.cpp,4,8,3
getarg_tests.cpp,getarg_tests.cpp,32,32,26
key_tests.cpp,key_tests.cpp,40,28,27
miner_tests.cpp,miner_tests.cpp,1500,24,15
multisig_tests.cpp,multisig_tests.cpp,4,40,3
rpc_tests.cpp,rpc_tests.cpp,72,132,32
script_P2SH_tests.cpp,script_P2SH_tests.cpp,44,37592,27
script_tests.cpp,script_tests.cpp,88,132,24
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
test_bitcoin.cpp,test_bitcoin.cpp,624,64,21
transaction_tests.cpp,transaction_tests.cpp,120,8,5
uint256_tests.cpp,uint256_tests.cpp,1600,8,5
util_tests.cpp,util_tests.cpp,12,12,12
crypter.cpp,crypter.cpp,1468,9920,191
db.cpp,db.cpp,2500,39024,504
rpcdump.cpp,rpcdump.cpp,4756,37952,85
wallet.cpp,wallet.cpp,596,45624,56
walletdb.cpp,walletdb.cpp,1208,41024,60
